Type	POS	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
и		1	223	1680	1	1	47416.543	27259.452	1.000	1.000	54.248	0.068
они		2	67	339	1	1	14246.226	5500.568	1.000	1.000	41.124	0.026
по		3	49	219	1	1	10418.882	3553.464	1.000	1.000	36.816	0.020
их		4	38	81	1	1	8079.949	1314.295	1.000	1.000	64.173	0.016
знак		5	30	3	1	1	6378.907	48.678	1.000	1.000	139.300	0.013
зодиака		6	29	0	1	0	6166.277	0.000	1.000	0.000	153.663	0.012
них		7	23	62	1	1	4890.495	1006.004	1.000	1.000	31.670	0.010
любят		8	22	7	1	1	4677.865	113.581	1.000	1.000	85.512	0.009
им		9	19	42	1	1	4039.974	681.486	1.000	1.000	31.119	0.008
под		9	19	19	1	1	4039.974	308.291	1.000	1.000	50.743	0.008
часто		11	16	23	1	1	3402.084	373.195	1.000	1.000	35.308	0.007
знака		12	14	0	1	0	2976.823	0.000	1.000	0.000	74.140	0.006
месяцам		12	13	0	1	0	2764.193	0.000	1.000	0.000	68.842	0.006
весы		14	11	0	1	0	2338.933	0.000	1.000	0.000	58.247	0.005
знаки		14	12	0	1	0	2551.563	0.000	1.000	0.000	63.544	0.005
конце		14	11	5	1	1	2338.933	81.129	1.000	1.000	39.106	0.005
месяц		14	12	17	1	1	2551.563	275.840	1.000	1.000	26.703	0.005
покровительством		14	11	0	1	0	2338.933	0.000	1.000	0.000	58.247	0.005
также		14	12	13	1	1	2551.563	210.936	1.000	1.000	30.834	0.005
близнецы		20	9	0	1	0	1913.672	0.000	1.000	0.000	47.653	0.004
личности		20	10	2	1	1	2126.302	32.452	1.000	1.000	42.430	0.004
овны		20	9	0	1	0	1913.672	0.000	1.000	0.000	47.653	0.004
рыбы		20	9	1	1	1	1913.672	16.226	1.000	1.000	41.298	0.004
стрелец		20	9	0	1	0	1913.672	0.000	1.000	0.000	47.653	0.004
августа		25	7	0	1	0	1488.412	0.000	1.000	0.000	37.061	0.003
апреля		25	7	2	1	1	1488.412	32.452	1.000	1.000	27.820	0.003
весьма		25	6	2	1	1	1275.781	32.452	1.000	1.000	23.061	0.003
внимания		25	6	3	1	1	1275.781	48.678	1.000	1.000	20.748	0.003
девы		25	8	0	1	0	1701.042	0.000	1.000	0.000	42.356	0.003
